Date,Income/Expenses,Category,Memo,Amount
2020-06-09,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.7
2020-06-08,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-5.0
2020-06-07,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.0
2020-06-06,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.0
2020-06-05,Expenses,Stationary,"Paper @Fairprice Finest, Clementi Mall, Clementi",-2.5
2020-06-05,Expenses,Telephone,Top Up Singtel Card,-10.0
2020-06-05,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-7.0
2020-06-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.0
2020-06-03,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.3
2020-06-02,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.4
2020-06-01,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.0
2020-06-01,Income,Balance from Previous Month,May's Balance,240.1
2020-05-31,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.2
2020-05-30,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.3
2020-05-29,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.0
2020-05-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.2
2020-05-27,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.0
2020-05-26,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.1
2020-05-25,Income,Cash Withdrawal,,300.0
2020-05-25,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.7
2020-05-24,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.5
2020-05-23,Expenses,Groceries,"Milk @Grindelwald Supermarket, Sunset Way, Clementi",-3.2
2020-05-23,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.4
2020-05-22,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.7
2020-05-21,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.4
2020-05-20,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.0
2020-05-19,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.0
2020-05-18,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.5
2020-05-17,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2020-05-16,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2020-05-15,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.6
2020-05-13,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.1
2020-05-12,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.0
2020-05-11,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.3
2020-05-10,Expenses,Entertainment,Steam Wallet Top Up,-17.0
2020-05-09,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.0
2020-05-08,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.7
2020-05-07,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.6
2020-05-06,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.9
2020-05-05,Expenses,Education,Online Course @Udemy,-17.0
2020-05-05,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.7
2020-05-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.1
2020-05-03,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.3
2020-05-02,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.6
2020-05-02,Expenses,Electronics,Boosted Premium Pass,-10.0
2020-05-01,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.7
2020-05-01,Income,Balance from Previous Month,April's Balance,263.1
2020-04-30,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-11.0
2020-04-29,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-11.0
2020-04-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.1
2020-04-27,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.5
2020-04-26,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.3
2020-04-25,Income,Cash Withdrawal,,300.0
2020-04-25,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.7
2020-04-24,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.4
2020-04-23,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.5
2020-04-22,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.6
2020-04-21,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.2
2020-04-20,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.3
2020-04-19,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-7.3
2020-04-18,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.2
2020-04-17,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2020-04-16,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.3
2020-04-15,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-7.6
2020-04-14,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.3
2020-04-13,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.5
2020-04-12,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.4
2020-04-11,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.1
2020-04-10,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.0
2020-04-09,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.4
2020-04-08,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.1
2020-04-06,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.5
2020-04-05,Expenses,Food,"Sushi @Sushi Express, Westgate, Jurong East",-11.5
2020-04-05,Expenses,Food,"Mini Wok @Food Republic, Westgate, Jurong East",-5.9
2020-04-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.6
2020-04-04,Expenses,Haircut,,-10.0
2020-04-03,Expenses,Groceries,"Groceries @Fairprice Finest, Bukit Timah Plaza, Bukit Timah",-24.2
2020-04-03,Expenses,Food,"Pizza @Pezzo, Clementi Mall, Clementi",-10.3
2020-04-03,Expenses,Food,"Double Mc.Spicy @Mc.Donald's, Bugis Junction, Bugis",-8.5
2020-04-02,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-8.6
2020-04-01,Expenses,Home,AC Service Charge,-30.0
2020-04-01,Expenses,Food,"Dimsum @Tim Ho Wan, Westgate, Jurong East",-12.9
2020-04-01,Expenses,Gift,,-22.4
2020-04-01,Expenses,Food,"Japanese Food @Cook House, JEM, Jurong East",-6.5
2020-04-01,Income,Balance from Previous Month,March's Balance,341.4
2020-03-31,Income,Cash Withdrawal,,200.0
2020-03-30,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.9
2020-03-30,Expenses,Body Care,Shampoo,-3.0
2020-03-29,Expenses,Dessert,"Red Velvet Cake @Coffee Bean & Tea Leaf, JEM, Jurong East",-3.5
2020-03-29,Expenses,Drinks,"Vanilla Latte @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.0
2020-03-29,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, JEM, Clementi",-4.5
2020-03-29,Expenses,Food,Noodle @Clementi,-3.0
2020-03-29,Expenses,Food,"Double Mc.Spicy @Mc.Donald's, Jurong East",-7.6
2020-03-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.2
2020-03-27,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2020-03-26,Expenses,Dessert,"Cake @Cat & the Fiddle, Clarke Quay",-9.2
2020-03-26,Expenses,Food,"Bakut Teh @Food Opera, Orchard",-18.2
2020-03-26,Expenses,Snacks,"Snacks @Cold Storage, Bugis Junction, Bugis",-11.9
2020-03-25,Expenses,Dessert,"Pancake @Belle-Ville, Bugis Junction, Bugis",-7.6
2020-03-25,Expenses,Fruits,"Juice @Boost Juice Bars, Bugis Junctio, Bugis",-2.5
2020-03-25,Expenses,Food,"Chicken @Jinjja, Clementi Mall, Clementi",-10.4
2020-03-24,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.1
2020-03-24,Expenses,Entertainment,Monopoly Plus,-6.5
2020-03-24,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.7
2020-03-23,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-2.8
2020-03-23,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.5
2020-03-22,Expenses,Body Care,"Dynamo Detergen @Fairprice Xtra, JEM, Jurong East",-8.5
2020-03-22,Expenses,Drinks,"Coffee Latte @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.0
2020-03-22,Expenses,Food,"Mc.Spicy + Mc.Chicken @Mc.Donald's, Jurong East",-10.8
2020-03-22,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.4
2020-03-22,Expenses,Food,Noodle @Clementi,-3.0
2020-03-21,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.7
2020-03-20,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.2
2020-03-20,Expenses,Others,,-54.0
2020-03-19,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-03-19,Income,Cash Withdrawal,,200.0
2020-03-19,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.7
2020-03-18,Expenses,Entertainment,Uno,-3.0
2020-03-18,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-03-18,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-03-17,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
2020-03-17,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.7
2020-03-17,Expenses,Transportation,Top Up Ezlink Card,-50.0
2020-03-16,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-5.1
2020-03-16,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-03-15,Expenses,Food,"Buritto @Guzman y Gomez, Star Vista, Buona Vista",-11.8
2020-03-15,Expenses,Drinks,"Bubble Tea @Koi, Buona Vista",-2.6
2020-03-15,Expenses,Food,"Chicken Set @Jinjja, Clementi Mall, Clementi",-12.1
2020-03-14,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.5
2020-03-13,Expenses,Gift,,-2.9
2020-03-13,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-03-13,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-03-12,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-03-12,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-03-11,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-03-11,Income,Cash Withdrawal,,200.0
2020-03-10,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.7
2020-03-10,Expenses,Food,"Pizza + Chicken Wings  @Pizza Hut, Star Vista, Buona Vista",-22.0
2020-03-10,Expenses,Drinks,"Pocari Sweat @Buzz, SIM, Clementi",-1.9
2020-03-09,Expenses,Food,"Popcorn Chicken @Kampoeng, SIM, Clementi",-4.5
2020-03-09,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2020-03-09,Expenses,Gift,,-11.5
2020-03-08,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.1
2020-03-08,Expenses,Snacks,"Cookies @Twelve Cupcakss, Star Vista, Buona Vista",-2.5
2020-03-08,Expenses,Food,"Double Mc.Spicy @Mc.Donald's, Buona Vista",-9.0
2020-03-08,Expenses,Fruits,"Juice @Boost Juice Bar, Star Vista, Buona Vista",-3.0
2020-03-07,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.5
2020-03-06,Expenses,Snacks,"Nacho Cheese Hotdog @IKEA, Queenstown",-1.8
2020-03-06,Expenses,Dessert,"Ice Cream @IKEA, Queenstown",-0.5
2020-03-06,Expenses,Food,"Swedish Meatball + Chicken Wings @IKEA cafe, IKEA, Queenstown",-9.4
2020-03-06,Expenses,Movies,"Sonic the Hedgehog @We Cinema, 321 Clementi, Clementi",-8.3
2020-03-06,Expenses,Food,Fishball Noodle @Clementi,-3.5
2020-03-05,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-03-05,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-5.1
2020-03-04,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.1
2020-03-04,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-03-03,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-5.3
2020-03-03,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-03-02,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-03-02,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-03-01,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.0
2020-03-01,Income,Balance from Previous Month,February's Balance,271.4
2020-02-29,Expenses,Food,"Bacon Fried Rice @G2 Eat, Sixth Avenue",-5.9
2020-02-29,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-02-28,Expenses,Food,"Mc.Griddle Stack @McDonald's, Clementi",-7.8
2020-02-28,Expenses,Food,"K-BBQ @I'm Kim, Clementi Grantal Mall, Clementi",-15.2
2020-02-27,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-02-27,Income,Cash Withdrawal,,200.0
2020-02-27,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-02-26,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-02-26,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-02-25,Expenses,Groceries,,-2.1
2020-02-25,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.1
2020-02-25,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-02-24,Expenses,Gift,,-8.9
2020-02-24,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-02-24,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.9
2020-02-23,Expenses,Drinks,"Bubble Tea @Koi, Westgate, Jurong East",-2.6
2020-02-23,Expenses,Food,"Japanese Food @Cook House, JEM, Jurong East",-6.5
2020-02-23,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-5.0
2020-02-22,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-8.6
2020-02-21,Expenses,Food,"Chicken Rice @Kampoeng, SIM, Clementi",-4.5
2020-02-21,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-02-20,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-02-20,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.5
2020-02-20,Expenses,Transportation,Top Up Ezlink Card,-50.0
2020-02-19,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-02-19,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2020-02-19,Expenses,Food,"Mc Griddles @Mc.Donald's, Clementi",-4.2
2020-02-18,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-02-18,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-02-17,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-02-17,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-02-16,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.0
2020-02-15,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-5.0
2020-02-15,Expenses,Gift,,-11.1
2020-02-15,Expenses,Food,"Pizza @Pizza Hut, Star Vista, Buona Vista",-14.5
2020-02-15,Expenses,Drinks,"Bubble Tea @Koi, Buona Vista",-2.3
2020-02-15,Expenses,Dessert,"Muffin @Coffee Bean & Tea Leaf, Holland Village",-2.3
2020-02-15,Expenses,Drinks,"Tea @Coffee Bean & Tea Leaf, Holland Village",-4.5
2020-02-14,Expenses,Food,"Sushi @Genki Sushi, Westgate, Jurong East",-18.0
2020-02-14,Expenses,Movies,"Parasite @We Cinema, 321 Clementi, Clementi",-9.5
2020-02-14,Expenses,Drinks,"Bubble Tea @Koi, Westgate, Jurong East",-2.0
2020-02-14,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-5.0
2020-02-14,Expenses,Gift,,-12.5
2020-02-13,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.6
2020-02-13,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-02-12,Expenses,Drinks,"Java Chip Frappe @Starbucks, SIM, Clementi",-2.3
2020-02-12,Expenses,Stationary,"Pen Refill @Popular Book Store, SIM, Clementi",-2.0
2020-02-12,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.9
2020-02-12,Expenses,Gift,,-29.9
2020-02-12,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.6
2020-02-11,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.6
2020-02-11,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-02-11,Expenses,Gift,,-10.0
2020-02-10,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-02-10,Expenses,Gift,,-14.5
2020-02-10,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-02-09,Expenses,Food,"Japanese Food @Cook House, JEM, Jurong East",-6.5
2020-02-09,Expenses,Drinks,"Mocha + Vanilla @Coffee Bean & Tea Leaf, JEM, Jurong East",-5.4
2020-02-09,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-5.0
2020-02-08,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.0
2020-02-08,Expenses,Telephone,Top Up Singtel Card,-10.0
2020-02-07,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-02-07,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-02-07,Expenses,Groceries,"Groceries @Fairprice Finest, Clementi Mall, Clementi",-20.0
2020-02-06,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.1
2020-02-06,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-02-05,Expenses,Food,"Sushi @Sushiro, Tiong Bahru Mall, Tiong Bahru",-39.3
2020-02-05,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.0
2020-02-04,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-02-04,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-02-03,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-02-03,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-02-02,Expenses,Food,"Sushi + Chicken Karage + Unagi @Dondonki, JEM, Jurong East",-8.7
2020-02-02,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.5
2020-02-02,Expenses,Food,"Mixed Rice @Food Republic, Westgate, Jurong East",-7.8
2020-02-02,Income,Cash Withdrawal,,200.0
2020-02-02,Expenses,Dessert,"Red Velvet @Coffee Bean & Tea Leaf, JEM, Jurong East",-3.5
2020-02-02,Expenses,Drinks,"Dulce de Leche @Coffee Bean & Tea Leaf, JEM, Jurong East",-4.3
2020-02-01,Expenses,Food,"Prosperity Burger @Mc.Donald's, Clementi",-8.7
2020-02-01,Income,Balance from Previous Month,January's Balance,430.0
2020-01-31,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-01-31,Expenses,Food,"Chicken Bowl @Kampoeng, SIM, Clementi",-4.5
2020-01-30,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-5.8
2020-01-30,Expenses,Transportation,Top Up Ezlink Card,-50.0
2020-01-30,Expenses,Home,AC Service Charge,-30.0
2020-01-25,Income,Others,,400.0
2020-01-23,Expenses,Food,"Mc.Muffin @Mc.Donald's, Terminal 4, Changi",-7.8
2020-01-21,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
2020-01-21,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.4
2020-01-20,Expenses,Drinks,"Pocari Sweat @Cold Storage, Takashimaya, Orchard",-1.3
2020-01-20,Expenses,Gift,,-27.2
2020-01-20,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-01-20,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.5
2020-01-19,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-10.4
2020-01-18,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-9.0
2020-01-18,Expenses,Entertainment,Top Up Steam Wallet,-16.0
2020-01-17,Expenses,Gift,,-12.3
2020-01-17,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-5.5
2020-01-17,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-01-17,Expenses,Dessert,"Mc Flurry @Mc.Donald's, Clementi",-1.6
2020-01-17,Expenses,Body Care,Shampoo,-2.8
2020-01-16,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-01-16,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-01-15,Expenses,Drinks,"Bubble Tea @Koi, Westgate, Jurong East",-1.6
2020-01-15,Expenses,Food,"Chicken @Jollibee, Jurong East",-8.0
2020-01-15,Expenses,Drinks,"Mineral Water @Fairprice Finest, JEM, Jurong East",-0.8
2020-01-15,Expenses,Snacks,"Gyoza @Don Donki, JEM, Jurong East",-2.0
2020-01-15,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-01-14,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-4.5
2020-01-14,Expenses,Drinks,"Drinks @Cold Storage, Holland Village",-7.4
2020-01-14,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.7
2020-01-13,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-01-13,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.8
2020-01-12,Expenses,Food,Mixed Rice @Clementi,-9.6
2020-01-11,Expenses,Food,"Buttermilk @Mc.Donald's, Clementi",-12.6
2020-01-10,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-01-10,Income,Cash Withdrawal,,200.0
2020-01-10,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-01-10,Expenses,Telephone,Top Up Singtel Card,-10.0
2020-01-09,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.7
2020-01-09,Expenses,Food,"Noodle @Kampoeng, SIM, Clementi",-5.0
2020-01-08,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-01-08,Expenses,Movies,"Spies in Disguise @We Cinema, 321 Clementi, Clementi",-7.0
2020-01-08,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-01-07,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.7
2020-01-07,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.6
2020-01-06,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-3.8
2020-01-06,Expenses,Food,"Noodles @Kampoeng, SIM, Clementi",-4.5
2020-01-05,Expenses,Food,"Japanese Food @Cook House, JEM, Jurong East",-6.5
2020-01-05,Expenses,Drinks,"Chocolate + Green Tea @Coffee Bean &Tea Leaf, JEM, Jurong East",-7.0
2020-01-05,Expenses,Food,Mixed Rice @Clementi,-3.0
2020-01-04,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-7.9
2020-01-03,Expenses,Transportation,Top Up Ezlink Card,-50.0
2020-01-03,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-01-03,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-5.6
2020-01-02,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.3
2020-01-02,Expenses,Food,"Mixed Rice @Food Clique, SIM, Clementi",-4.2
2020-01-01,Expenses,Drinks,"Pocari Sweat + Mineral Water @Cold Storage, Ulu Pandan",-1.5
2020-01-01,Expenses,Drinks,"Peachy Crystal @R&B, Shoppes at Marina Bay, Bayfront",-2.3
2020-01-01,Expenses,Food,"Buritto Bowl @Guzman y Gomez, Orchard Central, Orchard",-14.8
2020-01-01,Expenses,Entertainment,"Disney: Magic of Animation Entry Ticket @ArtScience Museum, Bayfront",-14.0
2020-01-01,Expenses,Food,"Tandoori Chicken @Kamala, Little India",-8.5
2020-01-01,Income,Balance from Previous Month,January's Balance,307.9
2019-12-31,Expenses,Food,"Mini Wok @Cook House, Marina Square, Esplanade",-6.3
2019-12-31,Expenses,Fruits,"Juice @Boost Juice Bar, Bugis Junction, Bugis",-3.0
2019-12-31,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-5.0
2019-12-30,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-4.5
2019-12-30,Expenses,Food,"Drumstick Bap @Jinjja, Terminal 2, Changi",-11.0
2019-12-29,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2019-12-28,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2019-12-27,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2019-12-26,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.6
2019-12-25,Expenses,Food,"Mixed Rice @Food Loft, Clementi",-8.2
2019-12-25,Expenses,Body Care,"Dove Body Wash @Fairprice Finest, Clementi Mall, Clementi",-11.2
2019-12-25,Expenses,Transportation,Grab from Clementi to Changi,-12.0
2019-12-24,Expenses,Drinks,"Bubble Tea @Koi, Clementi",-1.8
2019-12-24,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-5.0
2019-12-24,Expenses,Dessert,"Muffin @Coffee Bean & Tea Leaf, Holland Village",-2.2
2019-12-24,Expenses,Dessert,"Cheese Cake @Coffee Bean & Tea Leaf, Holland Village",-3.3
2019-12-24,Expenses,Drinks,"Chocolate @Coffee Bean & Tea Leaf, Holland Village",-4.5
2019-12-24,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-5.0
2019-12-23,Expenses,Dessert,"Ice Cream Lava Cookies @KOOKS Creamery, Cathay, Dhoby Ghaut",-4.4
2019-12-23,Expenses,Movies,"Jumanji 2 @Cathay, Dhoby Ghaut",-12.3
2019-12-23,Expenses,Food,"Korean BBQ @I'm Kim, Dhoby Ghaut",-15.1
2019-12-22,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.4
2019-12-22,Expenses,Drinks,"Earl Grey Tea @Coffee Bean & Tea Leaf, Wisma Atria, Orchard",-4.0
2019-12-22,Expenses,Dessert,"Pancake @Belle-Ville, Bugis Junction, Bugis",-5.2
2019-12-22,Expenses,Food,"Mixed Rice @Foodfare, Clementi Mall, Clementi",-4.4
2019-12-22,Expenses,Snacks,"Cheese Biscuit @Tokyo Milk Cheese Factory, ION Orchard, Orchard",-5.7
2019-12-21,Income,Cash Withdrawal,,300.0
